Neurons,num_endpoints,endpoints
864691136577830164,6,"(402188, 228684, 24029); (401258, 224832, 24029); (401314, 228366, 24424); (400199, 220721, 24029); (397870, 232292, 24004)"
864691135683615218,13,"(77233, 113188, 20454); (100382, 143836, 21642); (80699, 146603, 20732); (72020, 146120, 20454); (78888, 144940, 20729); (77581, 107903, 21128); (79752, 135765, 21128); (81247, 106776, 21128); (77847, 139151, 21128); (79279, 133315, 20729); (75434, 116406, 21128); (82373, 143047, 20729); (84568, 143001, 20729)"
864691135864989916,2,"(211973, 200313, 23233); (167751, 211623, 20718)"
864691135837578899,9,"(351264, 143646, 15182); (344801, 142291, 16918); (365630, 143623, 17206); (366661, 138894, 16413); (353391, 147582, 15182); (364015, 136026, 16229); (366482, 146050, 16289); (364432, 138589, 16229); (368161, 143679, 16588)"
864691135501859650,14,"(101840, 247377, 19543); (92823, 255328, 20388); (114427, 262070, 21457); (121271, 261912, 21080); (124189, 245938, 20647); (91948, 254590, 18892); (91997, 256975, 18035); (103523, 250004, 18892); (89886, 241969, 19733); (92540, 244709, 19543); (99399, 237963, 18892); (103136, 242201, 18892); (101379, 241075, 18892); (108773, 257094, 19286)"
864691135544674088,7,"(220484, 239044, 20481); (238449, 242308, 22478); (236175, 248410, 22353); (214198, 239479, 22176); (229752, 242781, 23000); (221841, 234402, 22053); (216053, 250067, 22176)"
864691135614368971,12,"(107820, 233757, 21960); (116372, 239008, 23264); (124237, 246518, 21658); (136224, 230905, 21677); (115496, 236818, 23265); (105904, 225380, 22053); (106534, 240236, 22664); (111347, 222655, 22040); (122145, 236063, 21194); (110694, 238863, 22881); (114308, 226252, 22040); (108430, 239545, 22557)"
864691135334773481,7,"(138311, 218409, 26379); (114789, 194406, 24246); (124468, 104448, 26580); (139102, 211607, 27162); (138628, 217513, 26379); (139552, 217739, 26379); (128744, 164349, 26267)"
864691135614361291,12,"(123240, 178472, 21529); (121863, 182085, 21528); (120546, 185200, 21529); (127989, 182823, 21529); (126147, 175751, 21529); (135975, 182464, 20924); (125674, 179277, 21825); (127729, 180997, 21829); (122557, 156664, 23210); (105458, 162773, 21154); (130964, 168605, 22091); (124350, 184120, 21773)"
864691135445907602,12,"(293401, 150411, 19104); (313432, 160982, 18587); (307884, 98766, 19067); (286774, 94565, 18046); (299513, 102932, 17381); (280662, 88268, 18962); (299328, 144118, 17855); (273521, 135851, 19630); (283103, 132583, 16703); (291654, 151758, 16467); (300368, 94697, 17403); (284028, 92091, 17279)"
864691136390697343,8,"(142469, 252585, 22976); (114049, 233747, 22036); (133344, 255551, 22050); (119054, 255853, 24243); (110752, 257317, 22950); (115245, 229189, 20754); (125357, 267380, 22950); (127045, 252642, 22222)"
864691135396741921,9,"(346513, 82659, 27098); (361886, 82055, 27634); (351862, 90983, 27294); (356313, 81149, 27160); (357302, 81696, 25846); (351904, 86230, 25855); (347111, 87496, 25853); (353324, 79002, 27450); (350241, 87272, 25854)"
864691135360418631,6,"(110598, 239837, 22040); (108642, 243230, 21979); (110004, 249020, 22939); (128684, 257839, 21402); (111625, 241512, 22793); (116185, 247442, 23265)"
864691135463797061,6,"(103052, 175611, 18430); (104081, 174998, 18429); (84819, 179327, 16391); (125624, 172841, 17139); (104294, 187513, 18430); (103868, 176147, 18430)"
864691135526309723,9,"(108958, 194091, 22035); (107125, 175763, 21958); (116314, 195453, 19337); (122738, 154726, 20654); (106639, 111664, 20802); (103176, 188510, 21202); (118152, 182120, 20651); (127406, 206585, 21529); (122260, 186180, 19628)"